Index,Acts number,Acts 
6364,0 of 0,Empty
6365,0 of 0,Empty
6366,0 of 0,Empty
6367,1 of 1,3
6368,0 of 0,Empty
6369,0 of 0,Empty
6370,1 of 1,The Indian Contract Act 1872
6371,0 of 0,Empty
6372,1 of 1,The Indian Income Tax Act 1922
6373,1 of 1,The Rajasthan Premises  Companytrol Of Rent And Eviction  Act 1950
6374,0 of 0,Empty
6375,1 of 1,The Fair Under Sec. 117 Of West Bengal Panchayat Act 1973
6376,0 of 0,Empty
6377,0 of 0,Empty
6378,1 of 1,The Companytroller -Under The Calcutta Thika Tenancy Act 1949
6379,1 of 1,The Provisions Of The Bihar Sales Tax Act 1944
6380,1 of 1,The U. P. Sales Tax Act 1948
6381,0 of 0,Empty
6382,0 of 0,Empty
6383,1 of 1,The Madras Village Panchayat Act 1951
6384,1 of 1,The Purpose Of The Wealth Tax Act 1957
6385,1 of 1,The Provisions Of The Madras Aliyasanthana Act 1949
6386,0 of 0,Empty
6387,1 of 1,The States Reorganisation Act 1956
6388,1 of 1,The Meaning Of S. 127 A  Of The Calcutta Municipal Act 1923
6389,1 of 1,The Trade Unions Act 1926
6390,1 of 1,The Effect Of The Repeal Of The Defence Of India Act 1939
6391,1 of 1,The Pepsu Tenancy And Agricultural Lands Act 1955
6392,1 of 1,The Bihar Mica Act 1947
6393,1 of 1,The Representation Of The People Act 1951
6394,1 of 1,The Provisions Of The Gujarat University Act 1949
6395,0 of 0,Empty
6396,1 of 1,The Companye Of Civil Procedure  Amendments Act 1976
6397,1 of 1,The Provisions Of The Industrial Dispute Act 1947
6398,0 of 0,Empty
6399,1 of 1,The Prevention Of Companyruption Act 1947
6400,0 of 0,Empty
6401,0 of 0,Empty
6402,1 of 1,The U.P. Intermediate Education Act 1921
6403,0 of 0,Empty
6404,1 of 1,The Respondent Under S. 33A Of The Industrial Disputes Act 1947
6405,1 of 1,The Indian Income-Tax Act 1922
6406,1 of 1,The Indian Income Tax Act 1922
6407,1 of 1,The Indian Income-Tax Act 1922
6408,0 of 0,Empty
6409,1 of 1,The Language Of S. 2 A  1  Of The Industrial Disputes Act 1947
6410,1 of 1,The Powers Companyferred By Sec. 12 Of The Punjab Municipal Act 1911
6411,1 of 1,The People Act 1951
6412,0 of 0,Empty
6413,1 of 1,The Representation Of People Act 1951
6414,1 of 1,The Forward Companytracts  Regulation  Act 1952
6415,1 of 1,The Industrial Disputes Act 1947
6416,0 of 0,Empty
6417,1 of 1,The Provisions Of The Bihar Hindu Religious Trusts Act 1950
6418,0 of 0,Empty
6419,1 of 1,The Provisions Of The Assam Agricultural Income-Tax Act 1939
6420,1 of 1,The Provision Of Section 7 Of The Matrimonial Cause Act 1950
6421,0 of 0,Empty
6422,0 of 0,Empty
6423,1 of 1,The Suppression Of Immoral Traffic In Women And Girls Act 1956
6424,1 of 1,The Companymission Of Inquiry Act 1952
6425,1 of 1,The Industrial Disputes Act 1947
6426,1 of 1,The Sea Customs Act 1878
6427,1 of 1,The Industrial Disputes Act 1947
6428,0 of 0,Empty
6429,1 of 1,The English Partition Act 1868
6430,1 of 1,The Income-Tax Act 1922
6431,0 of 0,Empty
6432,1 of 1,The Andhra Pradesh General Sales Tax Act 1956
6433,1 of 1,The Government Of India Act 1935
6434,0 of 0,Empty
6435,0 of 0,Empty
6436,1 of 1,The Provisions Of S. 132 Of The Income-Tax Act 1961
6437,0 of 0,Empty
6438,1 of 1,The Companies Act 1956
6439,1 of 1,The East Punjab Urban Rent Restriction Act 1949
6440,1 of 1,The Question Whether Section 5 Of The Limitation Act 1963
6441,0 of 0,Empty
6442,1 of 1,The Delhi Special Police Establishment Act 1946
6443,1 of 1,The Central Provinces Berar Shops And Establishment Act 1947
6444,1 of 1,The Indian Income-Tax Act 1922
6445,0 of 0,Empty
6446,1 of 1,The Government Of India Act 1935
6447,0 of 0,Empty
6448,0 of 0,Empty
6449,0 of 0,Empty
6450,1 of 1,The Industrial Disputes Act 1947
6451,1 of 1,The Bombay Provincial Companyporations Act 1949
6452,0 of 0,Empty
6453,1 of 1,The Provisions Of S. 2 Of The Railway And Canal Traffic Act 1854
6454,1 of 1,The Indian Soldiers  Litigation  Act 1925
6455,0 of 0,Empty
6456,1 of 1,The Representation Of The People Act 1951
6457,1 of 1,The Government Of India Act 1935
6458,0 of 0,Empty
6459,0 of 0,Empty
6460,0 of 0,Empty
6461,1 of 1,The Prevention Of Companyruption Act 1947
6462,0 of 0,Empty
6463,1 of 1,The Banking Regulation Act 1949
6464,1 of 1,The Calcutta Thika Tenancy Amendment Act 1953
6465,0 of 0,Empty
6466,0 of 0,Empty
6467,0 of 0,Empty
6468,1 of 1,0
6469,0 of 0,Empty
6470,1 of 1,The Rules. Section 51 Of The Finance Act 1982
6471,1 of 1,The Provisions Of The Bihar Land Reforms Act 1950
6472,1 of 1,The Bihar Preservation And Improvement Of Animals Act 1955
6473,0 of 0,Empty
6474,1 of 1,The Companystitution  First Amendment  Act 1951
6475,0 of 0,Empty
6476,1 of 1,The First Schedule To The Central Excises And Salt Act 1944
6477,1 of 1,The Meaning Of The Administration Of Evacuee Property Act 1950
6478,1 of 1,The Construction Of Section 95  2  Of The Motor Vehicles Act 1939
6479,0 of 0,Empty
6480,1 of 1,The Punjab Security Of Land Tenures Act 1953
6481,1 of 1,The Motor Vehicles Act 1939
6482,1 of 1,The Partner- Ship Act 1932
6483,1 of 1,The Patiala Income-Tax Act 2001
6484,1 of 1,The Bombay Rents Hotel And Lodging House Rates Companytrol Act 1947
6485,0 of 0,Empty
6486,1 of 1,The Orissa Private Lands Of Rulers  Assessment Of Rent  Act 1958
6487,0 of 0,Empty
6488,1 of 1,The Mussalman Wakf Validating Act 1913
6489,1 of 1,The Gram Panchayat Samitis And Zila Parishads Act 1961
6490,1 of 1,The Bihar Land Reforms Act 1950
6491,1 of 1,The Payment Of Wages Act 1936
6492,0 of 0,Empty
6493,1 of 1,The Essential Commodities Act 1955
6494,1 of 1,The Motor Vehicles Act 1939
6495,1 of 1,The Scope Of Section 22 Of The Delhi Rent Companytrol Act 1958
6496,0 of 0,Empty
6497,0 of 0,Empty
6498,1 of 1,The Point Is The Madras Marumakkattayam Act 1932
6499,1 of 1,The Preventive Detention Act 1950
6500,1 of 1,The Essential Companymodities Act 1955
6501,0 of 0,Empty
6502,0 of 0,Empty
6503,1 of 1,The Displaced Persons  Companypensation And Rehabilitation  Act 1954
6504,1 of 1,1
6505,0 of 0,Empty
6506,1 of 1,The Delhi And Ajmer Rent Companytrol Act 1952
6507,1 of 1,The Representation Of The People Act 1951
6508,1 of 1,The Cess Imposed On It Under The Bombay Sugarcane Cess Act 1948
6509,0 of 0,Empty
6510,1 of 1,The Transfer Of Property Act 1882
6511,1 of 1,The Indian Income-Tax Act 1922
6512,0 of 0,Empty
6513,1 of 1,The Madras General Sales Tax Act 1959
6514,0 of 0,Empty
6515,1 of 1,The Companyl Bearing Areas  Acquisition And Development  Act 1957
6516,1 of 1,The Advocates Act 1961
6517,1 of 1,The Revenue Under Section 35L Of The Central Excises Salt Act 1944
6518,0 of 0,Empty
6519,0 of 0,Empty
6520,0 of 0,Empty
6521,1 of 1,The Central Excises And Salt Act 1944
6522,0 of 0,Empty
6523,1 of 1,4
6524,1 of 1,The Central Provinces And Berar Sales Tax Act 1947
6525,1 of 1,The Punjab Industrial Housing Act 1956
6526,0 of 0,Empty
6527,0 of 0,Empty
6528,1 of 1,The Indian Income-Tax Act 1922
6529,0 of 0,Empty
6530,1 of 1,The Provisions Ofs. 13 Of The East Punjab Rent Restrictions Act 1949
6531,0 of 0,Empty
6532,1 of 1,The Madhya Bharat Sales Tax Act 1950
6533,1 of 1,The Appellant Under The Bihar Sales Tax Act 1947
6534,1 of 1,The Provisions Of The Travancore- Cochin Revenue Recovery Act 1951
6535,1 of 1,The Motor Vehicles Act 1939
6536,1 of 1,The Land Acquisition  Madras Amendment  Act 1961
6537,0 of 0,Empty
6538,0 of 0,Empty
6539,0 of 0,Empty
6540,0 of 0,Empty
6541,1 of 1,The Representation Of People Act 1951
6542,1 of 1,The Companypanies Act 1956
6543,0 of 0,Empty
6544,1 of 1,The Gujarat Town Planning And Urban Development Act 1976
6545,1 of 1,The Central Provinces And Berar Sales Tax Act 1947
6546,1 of 1,The Provisions Of The Bihar Companytrol Of Crimes Act 1981
6547,1 of 1,The Bombay Rent Companytrol Act 1947
6548,1 of 1,The Madras General Sales Tax Act 1939
6549,0 of 0,Empty
6550,1 of 1,The Bengal Money-Lenders Act 1940
6551,0 of 0,Empty
6552,1 of 1,The Hindu Adoptions And Maintenance Act 1956
6553,0 of 0,Empty
6554,1 of 1,The Industrial Disputes Act 1947
6555,0 of 0,Empty
6556,1 of 1,The Customs Act 1962
6557,1 of 1,The Indian Railways Act 1890
6558,1 of 1,The Prevention Of Food Adulteration Act 1954
6559,1 of 1,The Bombay Revenue Jurisdiction Act 1876
6560,1 of 1,The. Provisions Of The Patiala Land Acquisition Act 1995
6561,0 of 0,Empty
6562,0 of 0,Empty
6563,1 of 1,The Indore State The Indore Industrial Tax Act 1927
6564,1 of 1,The West Bengal Premises Tenancy Act 1956
6565,1 of 1,The Preventive Detention  Amendment  Act 1952
6566,1 of 1,Then Applied Under Section 66 1  Of The Indian Income- Tax Act 1922
6567,0 of 0,Empty
6568,1 of 1,The Facts Of The Case Is S. 90 Of The Indian Trusts Act 1882
6569,0 of 0,Empty
6570,0 of 0,Empty
6571,1 of 1,The English Law Reform  Miscellaneous Provisions  Act 1934
6572,1 of 1,The Gujarat Secondary Education Act 1972
6573,1 of 1,The Kerala Buildings  Lease Rent Companytrol  Act 1965
6574,0 of 0,Empty
6575,1 of 1,The In. Industrial Disputes Act 1947
6576,0 of 0,Empty
6577,1 of 1,The Extra-Provincial Jurisdiction Act 1947
6578,0 of 0,Empty
6579,1 of 1,The State Under The Hyderabad Abolition Of Inams Act 1954
6580,1 of 1,The Indian Excess Profits Tax Act 1940
6581,0 of 0,Empty
6582,0 of 0,Empty
6583,1 of 14,Section 24 of the Electricity Act
,2 of 14,Section 29 1 of the State Act
,3 of 14,We are number impressed with the argument that the State Act
,4 of 14,Section 11A of this Act
,5 of 14,Section 29 2 of the State Act
,6 of 14,Section 46B of the State Act
,7 of 14,State Act it would prevail over the Central Excise Act
,8 of 14,"Central Excise Act is a general enactment, the State Act"
,9 of 14,In this case the liability arises under the Central Excise Act
,10 of 14,Section 29 of the State Financial Corporation Act
,11 of 14,She submitted that as the State Act
,12 of 14,"State Financial Corporation Act 1951 for short, the State Act"
,13 of 14,State Act is a special enactment and Central Excise Act
,14 of 14,Section 11A of the Central Excise Act
6584,1 of 1,"From this, the High Court companycluded that the ac"
6585,0 of 0,Empty
6586,1 of 1,"Public Servants Inquiries Act, 1850"
6587,1 of 1,"Application No. 166 of 1990, but then in terms of the Act"
6588,1 of 2,"Section 46 of the Madhya Pradesh Town Improvement Trust Act, 1960"
,2 of 2,"Section 52 of the Madhya Pradesh Town Improvement Trusts Act, 1960"
6589,1 of 1,"Article 123 of the Schedule to the Limitation Act, 1963"
6590,1 of 2,Section 114A of the Evidence Act
,2 of 2,Sections 113A and 113B too were inserted in the Evidence Act
6591,0 of 0,Empty
6592,1 of 6,Section 4 of the Probation of Offenders Act
,2 of 6,This section was amended by Act
,3 of 6,Section 34 of the IPC and Section 7 of Cinematograph Act
,4 of 6,Section 7 of the Cinematograph Act
,5 of 6,Section 34 IPC and Section 7 of Cinematograph Act
,6 of 6,"Rs.1,000/- under Section 7 of Cinematograph Act"
6593,0 of 0,Empty
6594,1 of 4,"Kshetriya Panchayats and Zila Panchayats Act, 1961"
,2 of 4,"Gram Panchayat is governed by the U.P. Panchayat Rajya Act, 1947"
,3 of 4,"Schedule 1 of the Act, 1961"
,4 of 4,"Section 5 of the Essential Commodities Act, 1955"
6595,1 of 2,"The minimum rates of wages fixed under the Minimum Wages Act, 1948"
,2 of 2,"Contract Labour Regulation and Abolition Act, 1970"
6596,0 of 0,Empty
6597,0 of 0,Empty
6598,0 of 0,Empty
6599,1 of 1,The Administrative Tribunal Act 1985
6600,0 of 0,Empty
6601,1 of 1,The Displaced Persons  Companypensation And Rehabilitation  Act 1954
6602,0 of 0,Empty
6603,1 of 1,The Haryana Urban  Companytrol Of Rent And Eviction  Act 1973
6604,1 of 1,The Industrial Tribunal Under The Industrial Disputes Act 1947
6605,1 of 1,The Madras Agriculturists Relief Act 1938
6606,0 of 0,Empty
6607,1 of 1,The Income-Tax Act 1922
6608,1 of 1,The Provisions Of Part Vii Of The Land Acquisition Act 1894
6609,1 of 1,The Firm Was Registered Under Section 26A Of The Income-Tax Act 1922
6610,1 of 1,5
6611,1 of 1,The U.P. Industrial Disputes Act 1947
6612,0 of 0,Empty
6613,0 of 0,Empty
6614,1 of 1,The British-Nationality And Status Of Aliens Act 1914
6615,1 of 1,Their Wages Under S. 59 Of The Factories Act 1948
6616,1 of 1,The Matter. Section 2 11  Of The Insurance Act 1938
6617,0 of 0,Empty
6618,1 of 1,The Employees State Insurance Act 1948
6619,1 of 1,The Industrial Disputes Act 1947
6620,0 of 0,Empty
6621,1 of 1,The Indian Income Tax Act 1922
6622,1 of 1,The Scope Of S. 95  1   G  Of The U.P. Panchavat Rai Act 1947
6623,1 of 1,The Motor Vehicles Act 1939
6624,1 of 1,The Bombay Provincial Municipal Companyporation Act 1949
6625,0 of 0,Empty
6626,1 of 1,The Provisions Of Part X Of The Companypanies Act 1956
6627,1 of 1,The Foreign Jurisdiction Act 1947
6628,1 of 1,The Delhi Rent Companytrol Act 1958
6629,1 of 1,There Was Numberrequirement Under The Government Of India Act 1935
6630,0 of 0,Empty
6631,1 of 1,The Income Tax Act 1961
6632,0 of 0,Empty
6633,1 of 1,The Provisional Companylection Of Taxes Act 1931
6634,0 of 0,Empty
6635,1 of 1,The All India Services Act 1951
6636,1 of 1,The Appellants Under The Indian Companyton Cess Act 1923
6637,0 of 0,Empty
6638,1 of 1,The Provisions Of The Police Act 1861
6639,1 of 1,The Punjab General Sales Tax Act 1948
6640,1 of 1,The Representation Of The People Act 1951
6641,0 of 0,Empty
6642,0 of 0,Empty
6643,1 of 1,The Imports And Exports  Companytrol  Act 1947
6644,1 of 1,The Delhi Road Transport Authority Act 1950
6645,0 of 0,Empty
6646,1 of 1,The National Security Act 1980
6647,1 of 1,The Punjab Security Of Land Tenures Act 1953
6648,1 of 1,The General Clauses Act 1897
6649,0 of 0,Empty
6650,0 of 0,Empty
6651,1 of 1,8
6652,0 of 0,Empty
6653,1 of 1,The R.P. Act 1951
6654,1 of 1,The Central Excise And Salt Act 1944
6655,1 of 1,Ther Section 3 Of The Public Moneys  Recovery Of Dues  Act 1965
6656,1 of 1,The Bombay Court Fees Act 1959
6657,1 of 1,The View That The Repeal Of The Oaths Act 1873
6658,1 of 1,The Bengal Finance  Sales Tax  Act 1941
6659,1 of 1,The U.P. Zamindari Abolition And Land Reforms Act 1950
6660,1 of 1,The Hindu Succession Act 1956
6661,1 of 1,The Indian Partnership Act 1932
6662,1 of 1,The Representation Of People Act 1951
6663,1 of 1,The Appellant Was Taken Under The Customs Act 1962
6664,1 of 1,The State Of Kerala Under The Agricultural Incometax Act 1950
6665,1 of 1,The Companystitution  Forty-Fourth Amendment  Act 1978
6666,1 of 1,The Deceased Under Section 9 Of The Estate Duty Act 1953
6667,0 of 0,Empty
6668,1 of 1,The Motor Vehicles Act 1939
6669,1 of 1,The Seventh Schedule To The Government Of India Act 1935
6670,0 of 0,Empty
6671,0 of 0,Empty
6672,0 of 0,Empty
6673,1 of 1,The Motor Vehicles  Bihar Amendment  Act 1949
6674,1 of 1,8
6675,0 of 0,Empty
6676,0 of 0,Empty
6677,1 of 1,These Two Appeals Are Under Section 130E B  Of The Customs Act 1962
6678,1 of 1,The Intermediate Education  Amendment  Act 1958
6679,1 of 1,The Income Tax Act 1961
6680,1 of 1,The Act Of The Income-Tax Act 1961
6681,1 of 1,The British Nationality And Status Of Aliens Act 1914
6682,0 of 0,Empty
6683,1 of 1,The Navyact 1957
6684,1 of 1,The Gujarat Prevention Of Anti-Social Activities Act 1985
6685,1 of 1,The Income Tax Act 1922
6686,0 of 0,Empty
6687,1 of 1,The Imports And Exports  Companytrol  Act 1947
6688,1 of 1,The Provisions Of The Transfer Of Property Act 1882
6689,0 of 0,Empty
6690,1 of 1,The Income-Tax Act 1961
6691,1 of 1,The U.P. Sales Tax Act 1948
6692,0 of 0,Empty
6693,0 of 0,Empty
6694,1 of 1,The Indian Income-Tax Act 1922
6695,1 of 1,Ther The Provisions Of The Karnataka Land Reforms Act 1961
6696,1 of 1,The English Law By The Evidence Act 1938
6697,1 of 1,The Provisions Of The Urban Land  Ceiling And Regulation  Act 1976
6698,1 of 1,Ther Matters Mentioned In Section 5 Of The Punjab Laws Act 1872
6699,1 of 1,The Punjab Sales Tax Act 1948
6700,1 of 1,The Industrial Disputes Act 1947
6701,1 of 1,The Motor Vehicles Act 1939
6702,1 of 1,The C. P. Berar Municipalities Act 1922
6703,1 of 1,The Administrative Tribunal Act 1985
6704,1 of 1,The East Punjab Urban Rent Restric- Tion Act 1949
6705,1 of 1,The Income-Tax Appellate Tribunal Under S. 66 1  Income-Tax Act 1922
6706,0 of 0,Empty
6707,1 of 1,The Bombay Tenancy And Agricultural Lands Act 1948
6708,0 of 0,Empty
6709,0 of 0,Empty
6710,1 of 1,The Indian Extradition Act 1903
6711,1 of 1,The Provisions Of The Payment Of Gratuity Act 1972
6712,0 of 0,Empty
6713,0 of 0,Empty
6714,0 of 0,Empty
6715,1 of 1,The U.P. Civil Laws  Amendment  Act 1972
6716,0 of 0,Empty
6717,0 of 0,Empty
6718,1 of 1,The Maintenance Of Internal Security Act 1971
6719,0 of 0,Empty
6720,1 of 1,The Powers Conferred By S.155 1  Of The Punjab Land Revenue Act 1887
6721,1 of 1,The Kerala General Sales Tax Act 1963
6722,1 of 1,The Industrial Disputes  Appellate Tribunal  Act 1950
6723,1 of 1,The Provisions Of The C. P. Berar Sales Tax Act 1947
6724,0 of 0,Empty
6725,1 of 1,The National Security Act 1980
6726,1 of 1,The Wealth-Tax Act 1957
6727,0 of 0,Empty
6728,1 of 1,The Jammu And Kashmir Registration Of Societies Act 1898
6729,1 of 1,The Municipal Companyporations Act 1882
6730,1 of 1,The Calcutta Municipal Act 1951
6731,1 of 1,The Law Reform  Miscellaneous Provision  Act 1934
6732,1 of 1,4
6733,1 of 1,4
6734,0 of 0,Empty
6735,1 of 1,The Bankruptcy Act 1869
6736,1 of 1,The Prevention Of Companyruption Act 1947
6737,1 of 1,The Indian Evidence Act 1872
6738,0 of 0,Empty
6739,1 of 1,The Arbitration Act 1940
6740,1 of 1,The Meaning Of Sec. 2 1  Of The Factories Act 1948
6741,1 of 1,8
6742,0 of 0,Empty
6743,1 of 1,The Government Of India Act 1935
6744,0 of 0,Empty
6745,1 of 1,The Companye Of Civil Procedure  Amendment  Act 1976
6746,1 of 1,The Provisions Of The Customs Act 1962
6747,1 of 1,Thereafter Relying Upon S. 13 Of The C.P. Berar Sales Tax Act 1947
6748,0 of 0,Empty
6749,0 of 0,Empty
6750,0 of 0,Empty
6751,0 of 0,Empty
6752,0 of 0,Empty
6753,1 of 1,The Indian Income Tax Act 1922
6754,1 of 1,The Kerala Building Tax Act 1975
6755,1 of 1,The Indian Income- Tax Act 1922
6756,0 of 0,Empty
6757,0 of 0,Empty
6758,1 of 1,The Provisions Of The Representation Of The People Act 1951
6759,0 of 0,Empty
6760,1 of 1,5
6761,1 of 1,The Advocates Act 1961
6762,1 of 1,The Companypanies Act 1956
6763,0 of 0,Empty
6764,1 of 1,The Calcutta Police Act 1866
6765,0 of 0,Empty
6766,1 of 1,The Industrial Disputes Act 1947
6767,1 of 1,The Motor Vehicles Act 1939
6768,0 of 0,Empty
6769,1 of 1,The Kerala General Sales Tax Act 1963
6770,0 of 0,Empty
6771,0 of 0,Empty
6772,1 of 1,The Customs Act 1962
6773,1 of 1,The Mysore Village Panchayats Local Boards Act 1959
6774,1 of 1,The Madras City Municipal Companyporation Act 1919
6775,1 of 1,The Representation Of The People Act 1951
6776,1 of 1,The Representation Of The People Act 1951
6777,1 of 1,The West Bengal Government Premises  Tenancy Regulation  Act 1976
6778,1 of 1,The First Schedule To The Tariff Act 1934
6779,1 of 1,The Industrial Disputes  Appellate Tribunal  Act 1950
6780,1 of 1,The Dispute Under The Provisions Of The Arbitration Act 1940
6781,1 of 1,The Meaning Of S. 123 Of The Representation Of The People Act 1951
6782,0 of 0,Empty
6783,0 of 0,Empty
6784,0 of 0,Empty
6785,1 of 1,The Companytract Labour  Regulation And Abolition  Act 1970
6786,1 of 1,The Minimum Wages Act 1948
6787,1 of 1,The Petitioners Is That The Essential Commodities Act 1955
6788,1 of 1,The Municipal Act 1911
6789,1 of 1,The Sea Customs Act 1878
6790,1 of 1,The Central Provinces Berar Sales Tax Act 1947
6791,1 of 1,The Government Of India Act 1935
6792,1 of 1,The Offence Under Section 135  1  A  Ii  Of The Customs Act 1965
6793,0 of 0,Empty
6794,0 of 0,Empty
6795,1 of 1,The Companyk- Ing Companyl Mines  Nationalisation  Act 1972
6796,1 of 1,2
6797,0 of 0,Empty
6798,0 of 0,Empty
6799,0 of 0,Empty
6800,1 of 1,The Amendment Made In The Finance Act 1964
6801,1 of 1,The Motor Vehicles Act 1939
6802,0 of 0,Empty
6803,0 of 0,Empty
6804,1 of 1,The High Companyrt Under S. 66 A  Of The Indian Income Tax Act 1922
6805,1 of 1,The Companyrt Was Delivered By Sen J. The Companypanies Act 1956
6806,1 of 1,The Income-Tax Act 1961
6807,1 of 1,The Validity Of The Nathdwara Temple Act 1959
6808,0 of 0,Empty
6809,1 of 1,The Trade Disputes Act 1929
6810,1 of 1,The Income-Tax Act 1922
6811,1 of 1,The Madhya Pradesh Accommodation Companytrol Act 1961
6812,0 of 0,Empty
6813,1 of 1,1
6814,0 of 0,Empty
6815,1 of 1,The Administrative Tribunals Act 1985
6816,0 of 0,Empty
6817,0 of 0,Empty
6818,1 of 1,The Relevant Provisions Of The Essential Companymodities Act 1955
6819,1 of 1,The Factories Act 1948
6820,1 of 1,The Land Acquisition Act 1894
6821,1 of 1,The Administration Of Justice Act 1932
6822,1 of 1,The Representation Of The People Act 1951
6823,0 of 0,Empty
6824,1 of 1,The Income Tax Act 1961
6825,1 of 1,The Orissa Agricultural Income-Tax Act 1947
6826,0 of 0,Empty
6827,0 of 0,Empty
6828,1 of 1,The Punjab General Sales Tax Act 1948
6829,1 of 1,The First Schedule To The Central Excises And Salt Act 1944
6830,1 of 1,There Is Numberprovision Under The Karnataka Sales Tax Act 1957
6831,1 of 1,The Government Of India Act 1935
6832,1 of 1,The Prevention Of Companyruption Act 1947
6833,0 of 0,Empty
6834,1 of 1,The Displaced Persons  Debts Adjustment  Act 1951
6835,1 of 1,The Indian Limitation Act 1908
6836,0 of 0,Empty
6837,1 of 1,The State Of Madhya Pradesh Under The States Reorganisation Act 1956
6838,1 of 1,The Meaning Of S. 46 Of The Bombay Industrial Relations Act 1946
6839,1 of 1,The Bombay Sales Tax Act 1959
6840,1 of 1,The Mysore Sales Tax  Amendment  Act 1969
6841,1 of 1,The Provisions Of Section 54 Of The Indian Income-Tax Act 1922
6842,1 of 1,The Charitable And Religious Trusts Act 1920
6843,0 of 0,Empty
6844,1 of 1,The Indian Easements Act 1882
6845,1 of 1,The Wealth Tax Act 1957
6846,1 of 1,The Ndps Act 1985
6847,1 of 1,The Income-Tax Act 1922
6848,0 of 0,Empty
6849,1 of 1,The Municipal Corporations Act 1882
6850,0 of 0,Empty
6851,0 of 0,Empty
6852,0 of 0,Empty
6853,1 of 1,The Punjab University Act 1947
6854,0 of 0,Empty
6855,0 of 0,Empty
6856,1 of 1,The Industrial Disputes  Appellate Tribunal  Act 1950
6857,1 of 1,The Companystitution  Thirtieth Amendment  Act 1972
6858,1 of 1,The East Punjab Urban Rent Restriction Act 1949
6859,0 of 0,Empty
6860,1 of 1,The Bihar Building  Lease Rent And Eviction  Companytrol Act 1947
6861,1 of 1,The Reason Of Article 102 Of The Limitation Act 1908
6862,0 of 0,Empty
6863,1 of 1,The Provisions Of Tamil Nadu Additional Sales Tax Act 1976
6864,0 of 0,Empty
6865,0 of 0,Empty
6866,1 of 1,The All India Services Act 1951
6867,0 of 0,Empty
6868,1 of 1,The Uttar Pradesh Companyperative Societies Act 1965
6869,1 of 1,The Bombay Bhil Naik Inam Abolition Act 1955
6870,0 of 0,Empty
6871,0 of 0,Empty
6872,1 of 1,The Appellants Held Licences Under The Indian Explosives Act 1884
6873,0 of 0,Empty
6874,1 of 1,2
6875,1 of 1,The Provisions Of The Delhi Rent Companytrol Act 1958
6876,0 of 0,Empty
6877,1 of 1,6
6878,1 of 1,The Gujarat Prevention Of Anti-Social Activities Act 1985
6879,0 of 0,Empty
6880,1 of 1,The Madhya Pradesh Accommodation Companytrol Act 1961
6881,1 of 1,The Terrorist And Disruptive Activities  Prevention  Act 1987
6882,0 of 0,Empty
6883,1 of 1,The Companymencement Of The Indian Independence Act 1947
6884,0 of 0,Empty
6885,1 of 1,The Companypanies Act 1956
6886,1 of 1,The Prevention Of Companyruption Act 1947
6887,1 of 1,The Calcutta Municipal Act 1923
6888,1 of 1,The Schedule To The Indian Electricity Act 1910
6889,1 of 1,The Orissa Additional Sales Tax Act 1975
6890,0 of 0,Empty
6891,1 of 1,The Incometax Act 1922
6892,1 of 1,The Madras Companyoperative Societies Act 1961
6893,0 of 0,Empty
6894,1 of 1,The Societies Registration Act 1860
6895,1 of 1,The Arbitration Act 1940
6896,1 of 1,The Arbitration Act 1940
6897,0 of 0,Empty
6898,1 of 1,The Bombay Cooperative Societies Act 1925
6899,1 of 1,The Indian Income-Tax Act 1922
6900,1 of 1,The Defence Of India Act 1939
6901,0 of 0,Empty
6902,1 of 1,The Travancore Cochin General Sales Tax Act 1125
6903,1 of 1,The Government Of India Act 1935
6904,0 of 0,Empty
6905,1 of 1,The Central Excises And Salt Act 1944
6906,1 of 1,The United Provinces Tenancy Act 1939
6907,1 of 1,The Estate Duty Act 1953
6908,1 of 1,The Manner Provided By Section 145 Of The Indian Evidence Act 1872
6909,1 of 1,The Societies Registration Act 1860
6910,0 of 0,Empty
6911,1 of 1,The Indian Income- Tax Act 1922
6912,1 of 1,The Constitution  Fifth Amendment  Act 1955
6913,0 of 0,Empty
6914,0 of 0,Empty
6915,0 of 0,Empty
6916,1 of 1,The Income-Tax Act 1932
6917,1 of 1,0
6918,0 of 0,Empty
6919,1 of 1,The Hyderabad Inams Abolition Act 1955
6920,1 of 1,The Provisions Of The Punjab Municipal Act 1911
6921,1 of 1,The Income Tax Act 1922
6922,1 of 1,The Companyfee Act 1942
6923,0 of 0,Empty
6924,0 of 0,Empty
6925,0 of 0,Empty
6926,0 of 0,Empty
6927,1 of 1,The Income-Tax Act 1922
6928,1 of 1,The Maintenance Of Internal Security Act 1971
6929,1 of 1,The U.P. Companyrt Of Wards Act 1912
6930,0 of 0,Empty
6931,1 of 1,The Andhra Pradesh  Andhra Area  District Municipalities Act 1920
6932,1 of 1,The Rajasthan Land Acquisition Act 1953
6933,1 of 1,The Income-Tax Amendment Act 1944
6934,1 of 1,The Income-Tax Act 1922
6935,1 of 1,0
6936,1 of 1,9
6937,1 of 1,The Preventive Detention Act 1950
6938,0 of 0,Empty
6939,0 of 0,Empty
6940,1 of 1,The Relevant Rules Framed Under The Travancore Forest Act 1952
6941,0 of 0,Empty
6942,1 of 1,2
6943,0 of 0,Empty
6944,1 of 1,The Indian Income-Tax Act 1922
6945,1 of 1,The Representation Of The People Act 1951
6946,1 of 1,The Income-Tax Act 1922
6947,1 of 1,The Madras Estates Land  Reduction Of Rent  Act 1947
